At: 11000, mine: 2363902233, expected: 2363902233, op1: 2148450816, op2: 215451417
At: 22000, mine: 3621263279, expected: 3621263279, op1: 3193264764, op2: 427998515
At: 33000, mine: 89891849, expected: 89891849, op1: 3438462617, op2: 946396528
At: 44000, mine: 2071390454, expected: 2071390454, op1: 1504232883, op2: 567157571
At: 55000, mine: 1270703766, expected: 1270703766, op1: 2849484371, op2: 2716186691
At: 66000, mine: 4263342587, expected: 4263342587, op1: 120510222, op2: 4142832365
At: 77000, mine: 2805947726, expected: 2805947726, op1: 1949037544, op2: 856910182
At: 88000, mine: 1699136202, expected: 1699136202, op1: 1254190485, op2: 444945717
At: 99000, mine: 1850067676, expected: 1850067676, op1: 1429983658, op2: 420084018
At: 110000, mine: 2150784255, expected: 2150784255, op1: 2235441674, op2: 4210309877
At: 121000, mine: 3668801460, expected: 3668801460, op1: 2523743276, op2: 1145058184
At: 132000, mine: 392973870, expected: 392973870, op1: 438457140, op2: 4249484026
At: 143000, mine: 1452518060, expected: 1452518060, op1: 2403076126, op2: 3344409230
At: 154000, mine: 1758796496, expected: 1758796496, op1: 3035044969, op2: 3018718823
At: 165000, mine: 161362450, expected: 161362450, op1: 687185233, op2: 3769144513
At: 176000, mine: 4163489264, expected: 4163489264, op1: 169695508, op2: 3993793756
At: 187000, mine: 4005777885, expected: 4005777885, op1: 3023387240, op2: 982390645
At: 198000, mine: 1007414391, expected: 1007414391, op1: 810132832, op2: 197281559
At: 209000, mine: 982634100, expected: 982634100, op1: 2350898200, op2: 2926703196
At: 220000, mine: 797539935, expected: 797539935, op1: 1820351961, op2: 3272155270
At: 231000, mine: 1509488307, expected: 1509488307, op1: 3277865094, op2: 2526590509
At: 242000, mine: 1344605343, expected: 1344605343, op1: 247569693, op2: 1097035650
At: 253000, mine: 1368428706, expected: 1368428706, op1: 3605193389, op2: 2058202613
At: 264000, mine: 274571296, expected: 274571296, op1: 3121954932, op2: 1447583660
At: 275000, mine: 3311460746, expected: 3311460746, op1: 575799108, op2: 2735661638
At: 286000, mine: 1186382476, expected: 1186382476, op1: 879158632, op2: 307223844
At: 297000, mine: 1898623201, expected: 1898623201, op1: 2454818852, op2: 3738771645
At: 308000, mine: 2705355586, expected: 2705355586, op1: 2585911860, op2: 119443726
At: 319000, mine: 1496271537, expected: 1496271537, op1: 3497743520, op2: 2293495313
At: 330000, mine: 2778678603, expected: 2778678603, op1: 2441959971, op2: 336718632
At: 341000, mine: 2071491830, expected: 2071491830, op1: 3843736778, op2: 2522722348
At: 352000, mine: 1167342730, expected: 1167342730, op1: 3655869619, op2: 1806440407
At: 363000, mine: 1235253906, expected: 1235253906, op1: 178856213, op2: 1056397693
At: 374000, mine: 2416238367, expected: 2416238367, op1: 1380245412, op2: 1035992955
At: 385000, mine: 3004832614, expected: 3004832614, op1: 789143902, op2: 2215688712
At: 396000, mine: 2256745740, expected: 2256745740, op1: 1411769768, op2: 844975972
At: 407000, mine: 133736975, expected: 133736975, op1: 1585726909, op2: 2842977362
At: 418000, mine: 2673198909, expected: 2673198909, op1: 4258878203, op2: 2709288002
At: 429000, mine: 2084038392, expected: 2084038392, op1: 344212777, op2: 1739825615
At: 440000, mine: 4227833335, expected: 4227833335, op1: 3365209233, op2: 862624102
At: 451000, mine: 2474908454, expected: 2474908454, op1: 772906844, op2: 1702001610
At: 462000, mine: 3695723447, expected: 3695723447, op1: 2253559308, op2: 1442164139
At: 473000, mine: 1031934074, expected: 1031934074, op1: 4195241716, op2: 1131659654
At: 484000, mine: 1438890666, expected: 1438890666, op1: 2741723718, op2: 2992134244
At: 495000, mine: 3935767508, expected: 3935767508, op1: 2737966662, op2: 1197800846
At: 506000, mine: 3621425582, expected: 3621425582, op1: 1207208335, op2: 2414217247
At: 517000, mine: 1630592193, expected: 1630592193, op1: 4022755039, op2: 1902804450
At: 528000, mine: 2219952391, expected: 2219952391, op1: 3034243177, op2: 3480676510
At: 539000, mine: 2609758518, expected: 2609758518, op1: 321025830, op2: 2288732688
At: 550000, mine: 3830640584, expected: 3830640584, op1: 4173269233, op2: 3952338647
At: 561000, mine: 1980009195, expected: 1980009195, op1: 216487705, op2: 1763521490
At: 572000, mine: 32770563, expected: 32770563, op1: 3633405105, op2: 694332754
At: 583000, mine: 1976334570, expected: 1976334570, op1: 3522934435, op2: 2748367431
At: 594000, mine: 1849663707, expected: 1849663707, op1: 2280519695, op2: 3864111308
At: 605000, mine: 1883593439, expected: 1883593439, op1: 994579830, op2: 889013609
At: 616000, mine: 1002224759, expected: 1002224759, op1: 2369304602, op2: 2927887453
At: 627000, mine: 1522496181, expected: 1522496181, op1: 1983032812, op2: 3834430665
At: 638000, mine: 1970726121, expected: 1970726121, op1: 3984144602, op2: 2281548815
At: 649000, mine: 180587540, expected: 180587540, op1: 1926986725, op2: 2548568111
At: 660000, mine: 444998196, expected: 444998196, op1: 2079773687, op2: 2660191805
At: 671000, mine: 786099293, expected: 786099293, op1: 2350397976, op2: 2730668613
At: 682000, mine: 639040588, expected: 639040588, op1: 3918833363, op2: 1015174521
At: 693000, mine: 1205296783, expected: 1205296783, op1: 1697671114, op2: 3802592965
At: 704000, mine: 2884794199, expected: 2884794199, op1: 4025322719, op2: 3154438776
At: 715000, mine: 3936037332, expected: 3936037332, op1: 3109633650, op2: 826403682
